TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,LIQUIDEZ MEDIA DIARIA,VPA,LPA,PEG Ratio,VALOR DE MERCADO
CORR4,82.0,0.0,0.21,0.27,0.1,99.6,463.27,408.67,0.18,-1.19,-1.32,-1.99,0.84,0.17,-0.47,3.47,133.68,46.57,112.42,0.35,0.65,0.11,-16.36,0.0,0.0,298.41,398.91,0.0,1278894.65
CRIV4,5.01,9.46,13.35,0.48,0.04,29.83,3.35,2.56,10.21,10.21,0.0,0.0,0.34,0.09,-0.07,48.36,3.58,0.29,0.0,0.08,0.92,0.11,18.33,-9.87,39864.91,10.5,0.38,0.0,515742205.56
CSAB4,50.0,2.24,21.07,2.02,0.98,29.1,289.0,401.83,29.29,23.07,0.0,0.0,84.66,7.5,-1.21,3.28,9.6,4.66,0.0,0.49,0.51,0.01,-33.4,-2.04,10000.0,24.72,2.37,0.22,302438400.0
CTKA4,6.66,0.0,-2.69,-0.25,0.07,35.6,3.99,-2.5,1.68,26.01,22.58,0.0,0.07,0.25,-0.22,1.7,-9.46,-2.56,5.3,-0.27,1.27,1.02,12.05,0.0,2453.6,-26.13,-2.47,0.02,83928176.7
CTNM4,1.32,0.0,-0.13,0.08,0.01,22.43,-5.68,-17.19,-0.4,-11.41,-10.64,2.13,0.02,-1.71,-0.02,0.98,-60.74,-8.14,-4.4,0.13,0.75,0.47,-3.61,0.0,23456.14,16.45,-9.99,0.0,77726427.24
CTSA4,1.12,0.0,-0.9,0.11,0.05,10.14,-3.75,-7.12,-1.72,-9.16,-7.06,0.46,0.06,-0.87,-0.07,0.84,-12.34,-5.57,-8.29,0.45,0.55,0.78,9.79,0.0,14807.94,10.05,-1.24,0.0,38119949.97
DEXP4,6.3,6.44,4.44,1.12,0.45,17.7,10.18,6.13,2.67,3.88,0.97,0.41,0.27,1.08,-1.27,2.75,25.35,10.07,22.04,0.4,0.52,1.64,32.29,20.48,15430.38,5.6,1.42,-0.14,645230308.5
DOHL4,4.13,3.2,14.47,0.44,0.33,22.36,2.26,3.37,21.53,45.4,1.82,0.04,0.49,0.75,-0.69,5.83,3.05,2.27,1.61,0.75,0.25,0.67,9.46,6.91,5450.09,9.37,0.29,-0.17,632141130.45
DTCY4,62.6,0.0,-179.04,-304.82,56.45,13.15,-47.85,-49.64,-185.72,-22.43,0.17,0.0,88.87,-192.81,-88.71,0.55,-170.25,-31.53,471.95,-0.19,1.19,0.64,-8.48,0.0,0.0,-0.21,-0.35,14.96,84817525.8
EALT4,6.86,4.37,3.57,0.75,0.3,23.54,12.74,8.88,2.49,4.49,1.91,0.58,0.32,-12.19,-0.48,0.94,21.11,8.26,16.93,0.39,0.61,0.93,26.85,0.0,73977.41,9.1,1.92,0.08,159615000.0
